_id,text,created_at
674f2f645e8c5f1843d997d3,"'Stadtlandwohnung' by Mister Mago @MisterMagoMusic  

Mister Mago is an amazing rap artist from Germany who has created a unique style of his own which is...

Read more from the link in bio.

#boombap #hiphop #lofi #rap #artist #band #musicreview #blog #musechronicle",
674f2f645e8c5f1843d997d4,Cringe Diplomacy? Germany’s FM Unleashes Tirade of Threats &amp; Accusations During China Trip https://t.co/jZNL1XD07h via @Aletho,
674f2f645e8c5f1843d997d5,"RT @amborin: Germany's AfD Co-Chair Chrupalla:  ""Germany is not a training ground for the deployment of US forces.""

""We are basically not…",
674f2f645e8c5f1843d997d6,"RT @DrJohnB2: In Germany, there is now a laboratory where you can get tested to see if you have components of the mRNA vaccine in your body…",
674f2f645e8c5f1843d997d7,RT @REAL_7homas777: Adolf Hitler greets AMERICAN tourists (note the American FLAG in the crowd) who had traveled to Germany to witness the…,
674f2f645e8c5f1843d997d8,RT @Antje19777: Good morning from Germany 🇩🇪 https://t.co/UgNJXCOVa3,
674f2f655e8c5f1843d997d9,RT @AndersonAfDMdEP: 🇬🇧|The @EU_Commission is taking action against #Germany and 22 other #EU states for failing to implement the NIS2 and…,
674f2f655e8c5f1843d997da,Israel Soldier Assaulted by Alleged Germany Nazi Tourists While on Vacation in Northern Thailand https://t.co/NITf2repcI,
674f2f655e8c5f1843d997db,germany https://t.co/ZMvolyrWTR,
674f2f655e8c5f1843d997dc,RT @AndersonAfDMdEP: 🇬🇧|The @EU_Commission is taking action against #Germany and 22 other #EU states for failing to implement the NIS2 and…,
674f2f655e8c5f1843d997dd,"@ivan_8848 Germany supports Israel and Zelensky, always in the dark side of the moon.",
674f2f655e8c5f1843d997de,"@Based_Bipun Germany lost its cool, now it's just a mess",
674f2f655e8c5f1843d997df,"RT @sanareplyguy: This already exists in countries like Germany, where over 85% of sex workers are migrants and therefore aren't even entit…",
674f2f665e8c5f1843d997e0,@julie_kelly2 Prosecutions need to happen the FBI which over the last 4 years has morphed into The Sturmabteilung: Hitler’s Unofficial Army Of Thugs of Nazi Germany looking for crimes that never happened to justify their use of force to intimidate Americans some of whom never was in DC J-6.,
674f2f665e8c5f1843d997e1,"Portugal taught me stillness; Germany taught me energy. My sound is the balance of both worlds—a mix of calm introspection and dynamic drive. It’s who I am, in music form. #AANWV #CulturalFusion",
